ProductType,ProductName,Review
laptop,spectre,Can @user send me a review unit for HP spectre X360? I am really willing to review it but can't get my hands on it.
laptop,spectre,"I am very disappointed with the @user @user @user  brand. I have a HP Spectre folio that suddenly stopped working, and now only the caps lock is blinking. I took it to an authorized service center in Ahmedabad, and they said they couldn't do anything about it."
laptop,spectre,Really poor service by HP despite buying their premium Spectre laptop!! Appalled at the refusal to repair the device under warranty for vague reasons! Never buying another HP product again!! @user
laptop,spectre,"6 days since Spectre x360 was ordered online from HP Store, the product has not yet been shipped. Are we in the Medieval era? @user @user @user @user"
laptop,spectre,"Dear @user @user @user,
I ordered HP Spectre laptop, Order ID 1015000000052047 on 8th Oct through HP CEPP. I have to produce this laptop physically in my company before 13th. I request you to deliver it on priority by 13th as expected delivery date shown is 17."
laptop,spectre,"So, my HP spectre's keyboard is dead, and can't be fixed since HP stopped manufacturing the parts for it.

HP literally took 5-6 months only to come to this conclusion, cool!

@user @user @user"
laptop,spectre,"I own HP Spectre 3360 purchased in Dubai. 
Currently, I am in Bhopal, MP, India &amp; laptop’s not working. It's out of warranty, HP India in Bhopal is refusing to repair the laptop stating that as it is purchased from Dubai it needs to be repaired in Dubai @user  @user @user"
laptop,spectre,"Unable to get any support from @user regarding my Spectre Folio Convertible Laptop.
As mentioned by the customer support USA,the issue is with the BIOS Update but @user fails to acknowledge the same.
Buying such a premium product is a waste @user @user @user"
laptop,spectre,"My hp spectre laptop started to heat up after 2 months , since then 2 parts of  has changed, all they are trying to do is exhaust my warranty sic. Advise I got from them don't put laptop in laptop bag don't put your laptop in sleep mode unbelievable@ HPIndia_MD@user"
laptop,spectre,"The beauty is that the customer service guy can hear me and I can hear him nice and loud and yet! If they can treat an HP Spectre customer with such disdain, how do they treat others? @user @user @user @user @user @user"
laptop,spectre,"[1/n] @user @user A truly bad decision of mine was to purchase an HP Spectre x360 15 inch. Full of quality issues, coupled with bad customer care. My wife and friend bought x360s as well---BOTH of them failed in a few months. Strongly recommend folks to avoid HP purchases."
